Ucoluk, Gokturk ==> 2.56494208494e-05
Schluter, Natalie ==> 2.48687686418e-05
Endres-Niggemeyer, Brigitte ==> 2.32392165101e-05
Reschke, Kevin ==> 1.64390525938e-05
Doppa, Janardhan Rao ==> 1.3719075645e-05
Kumar, Aman ==> 2.4976086851e-05
Carterette, Ben ==> 1.55270986591e-05
Chen, Longbin ==> 1.6852769935e-05
Crisafulli, Giuseppe ==> 2.5252686284e-05
Jiang, Zixin ==> 5.59009116777e-05
Zhu, Zhemin ==> 4.23205248822e-05
Hjalmarsson, Anna ==> 2.1044244932e-05
Gyepesi, Gy&ouml;gy ==> 1.48491209174e-05
Grosz, Barbara J. ==> 0.00146531700352
Prasad, Rohit ==> 6.42328290113e-05
Roxas, Rachel Edita O. ==> 1.73595517694e-05
Lee, Insup ==> 2.59139206948e-05
Borkovsky, Arkady ==> 9.59145816995e-05
Ellard, Dan ==> 2.39640523357e-05
McCandless, Michael ==> 4.4329182218e-05
Bensch, Suna ==> 1.46862704537e-05
Sarawgi, Ruchita ==> 3.43412553352e-05
Yasuhara, Masaaki ==> 3.86770952505e-05
Robinson, Ann E. ==> 2.01771642806e-05
Inui, Hiroko ==> 1.6384328145e-05
Nunberg, Geoffrey ==> 9.9540187658e-05
Chang, Nancy ==> 0.000161508669003
Molinero, Miguel A. ==> 2.08266403942e-05
Ren, Dengjun ==> 3.1403725918e-05
Bergmair, Richard ==> 1.8376015694e-05
Byrd, Roy J. ==> 0.000334195051201
Biswas, Pradipta ==> 2.66204098446e-05
Wang, William S. Y. ==> 1.83638289619e-05
Torres-Moreno, Juan-Manuel ==> 5.47794700312e-05
Lu, Chi ==> 0.000100990611734
Vila, Marta ==> 1.68626455012e-05
Yazdani, Majid ==> 2.44956868023e-05
Megyesi, Be&aacute;ta ==> 0.000131312401149
Alphonse, Erick ==> 3.93616121051e-05
Negi, Sumit ==> 4.71348104737e-05
Wan, Jing ==> 3.55209565677e-05
Wu, Zhili ==> 2.43626589333e-05
Bolognesi, A. ==> 1.64833660094e-05
Reyes, Rodrigo ==> 1.91902460531e-05
Enguehard, Chantal ==> 3.57368338729e-05
Schnoebelen, Tyler ==> 2.38086154009e-05
Acosta, Olga ==> 1.71667923513e-05
Lin, Bo ==> 6.38451211856e-05
Mass&oacute;, Guillem ==> 1.74448940746e-05
Wudabala, Han ==> 3.94914669116e-05
Robertson, Stephen ==> 2.64859836808e-05
Balari, Sergio ==> 2.63381540388e-05
Washburn, Clay ==> 1.53768412643e-05
Samatova, Nagiza ==> 2.65168833092e-05
Lange, Jean-Marc ==> 6.55010463157e-05
Hardmeier, Christian ==> 5.62758246316e-05
Hunnicutt, M. Sharon ==> 3.2864763453e-05
Wang, Letian ==> 1.4397234178e-05
Kulkarni, Girish ==> 3.23097800045e-05
Hui, Bowen ==> 1.96850567889e-05
Passonneau, Rebecca J. ==> 0.000829222807644
Lee, Yong-Hun ==> 3.15604522119e-05
Novais, Eder ==> 2.02217380364e-05
Takahashi, Satoshi ==> 2.68801362617e-05
Burden, Hakan ==> 2.14299847473e-05
Jin, Feng ==> 3.69790313273e-05
Banjevic, Stefan ==> 2.00664922448e-05
Ozbal, Gozde ==> 1.59636685298e-05
Norbu, Sithar ==> 1.62674462648e-05
Gehrke, Manfred ==> 3.0260791525e-05
Park, Hyun Seok ==> 6.0536425692e-05
Feldweg, Helmut ==> 8.1490343036e-05
Howald, Blake Stephen ==> 2.00537017294e-05
Mohamed, Ahmed A. ==> 2.84309857089e-05
Kim, Jessica ==> 3.21339206791e-05
Daum&eacute; III, Hal ==> 0.000621215044135
Hristea, Florentina ==> 1.50925539452e-05
Dyer, Chris ==> 0.00136739605984
Thanadkran, Kanokwut ==> 1.75271664521e-05
G&ouml;tze, Michael ==> 3.7996769538e-05
Bickerstaffe, Adrian ==> 3.50749533529e-05
Perez, Alicia ==> 3.15846861972e-05
Howes, Christine ==> 1.59312910849e-05
Fan, Weiguo ==> 2.80164426424e-05
Carroll, Jeremy J. ==> 7.64177976962e-05
Yilmazel, Ozgur ==> 2.10506672249e-05
Schneider, Mike ==> 2.32205279393e-05
Gebruers, Rudi ==> 3.46829416003e-05
Lai, Vicky Tzuyin ==> 3.41570636748e-05
Ellis, Ged ==> 5.04055803337e-05
Kim, Taewan ==> 2.37222962557e-05
Van Coile, B. ==> 3.82299609864e-05
Alm, Norman ==> 4.6310710021e-05
Gurevych, Iryna ==> 0.000456953190354
Kitani, Tsuyoshi ==> 2.54367265165e-05
Feng, Ming-Whei ==> 2.28801682268e-05
Wei, Furu ==> 9.98156853559e-05
Hunter, Larry ==> 1.7827867225e-05
Creary, Lewis G. ==> 3.23908895817e-05
Tepper, S. ==> 2.60624599719e-05
Heuvel, Henk van den ==> 7.90187720488e-05
Dudda, Friedrich ==> 4.44962481776e-05
Hatada, Nobuko ==> 3.33108858799e-05
Emonts, Michael ==> 2.05200625021e-05
Hurskainen, Arvi ==> 2.65118573401e-05
Mitsumori, Tomohiro ==> 2.36507912586e-05
Klavans, Judith L. ==> 0.00059910130429
Udupa, Raghavendra ==> 0.000180494746186
Szafron, Duane ==> 1.50096861892e-05
Yan, Hao ==> 4.45291012068e-05
Wang, Hongning ==> 3.17622545569e-05
Sebastiani, Fabrizio ==> 0.000119143536505
Detienne, Boris ==> 2.33091640373e-05
Asada, Yoshiaki ==> 1.73194874307e-05
Wen, Li ==> 3.94914669116e-05
Zhou, Lina ==> 2.93074164334e-05
Burns, Gully ==> 5.77623829462e-05
Wunsch, Holger ==> 4.28613347223e-05
Agichtein, Eugene ==> 0.000162582344822
Lubar, Suzi ==> 2.59127816293e-05
Prochasson, Emmanuel ==> 3.38060675336e-05
Jin, Youbing ==> 2.54761414228e-05
Ireson, Neil ==> 1.56246482694e-05
Sparck Jones, Karen ==> 6.05330079363e-05
Liu, Fei ==> 0.000103112825009
Da Sylva, Lyne ==> 2.06614076423e-05
Zhang, Zhu ==> 5.16938459565e-05
Xiao, Juan ==> 6.10410975171e-05
Singh, Pawandeep ==> 1.56166289107e-05
Ebert, Christian ==> 2.25215281371e-05
Smith, Ronnie W. ==> 0.000178996423446
Van Vuuren, Sarel ==> 4.85719920186e-05
Pendar, Nick ==> 1.70507361268e-05
Liu, Yupeng ==> 2.79232743958e-05
Partee, Barbara H. ==> 2.3877083647e-05
Weld, Daniel S. ==> 0.000131003129782
Clausen, David ==> 3.26498059687e-05
Waters, Richard C. ==> 6.39177900113e-05
Sondheimer, Norman K. ==> 0.000276558198246
Chen, Wei ==> 2.87932356386e-05
Hu, Xia ==> 2.07040517566e-05
Hartley, Roger ==> 2.38957186271e-05
Momma, Stefan ==> 3.94554054644e-05
Steele, Elizabeth ==> 2.99178805678e-05
Paroubek, Patrick ==> 0.000112360667645
Zelinsky-Wibbelt, Cornelia ==> 6.09160896533e-05
Hollan, R. ==> 3.02368730656e-05
Barrett, Leon ==> 0.000216981024338
Guthrie, Joe A. ==> 0.000102756487569
Steyvers, Mark ==> 2.81391392467e-05
Zadrozny, Wlodek ==> 5.75862789511e-05
Delmore, John ==> 1.59176245556e-05
Deas, H. ==> 2.44044051323e-05
Zesch, Torsten ==> 0.00013884499704
Oku, Masahiro ==> 1.38925852097e-05
Ghidoni, Gabriele ==> 1.82273218384e-05
Kang, Byeong-Kwu ==> 2.26500037521e-05
Woelfel, Joseph ==> 2.26231260077e-05
Yang, Jie ==> 1.47833076195e-05
Ehrlich, Ute ==> 2.07756901458e-05
Ahmad, Faisal ==> 2.61397411598e-05
Weischedel, Ralph M. ==> 0.00180288173375
Pitsch, Gisela ==> 1.44655125948e-05
Labropoulou, P. ==> 1.40389258546e-05
Arranz, Victoria ==> 3.60736976658e-05
Conroy, John M. ==> 6.53963366002e-05
Kiryakov, Atanas ==> 2.13783905311e-05
&Ouml;zg&uuml;r, Arzucan ==> 0.000116824093723
Schopp, Jochen ==> 1.40744820847e-05
Netzer, Yael Dahan ==> 9.82913107293e-05
Ceplova, Marketa ==> 2.84628895048e-05
Kuba, Andras ==> 4.0172431849e-05
Farrar, Scott ==> 3.00390059315e-05
Oishi, Akira ==> 2.41632357591e-05
Vitale, Anthony J. ==> 4.09281927559e-05
Lai, Yu-Ling ==> 2.13507282974e-05
Obrebski, Tomasz ==> 2.05405461845e-05
MacWhinney, Brian ==> 5.29934156105e-05
Wada, Hajime ==> 5.91751942976e-05
Nakata, Takayuki ==> 2.45549821158e-05
Warnier, Pierre ==> 2.63185935272e-05
Ohsawa, Ichiro ==> 1.40709822173e-05
Matsuyama, Kyoko ==> 2.94030897664e-05
Stone, Rebecca ==> 0.000100149615792
Zhan, Puming ==> 2.16723790249e-05
Hender, Paul ==> 2.88039637362e-05
Guenthner, Franz ==> 2.88233895787e-05
Kuppin, Michael A. ==> 3.1821400857e-05
Monachini, Monica ==> 0.000123982962362
Fyshe, Alona ==> 1.50096861892e-05
Gonzalez, Graciela ==> 6.39684265936e-05
Ge, Wenying ==> 1.48238948568e-05
Hnatkova, Milena ==> 1.67049966989e-05
Konolige, Kurt ==> 3.02493186253e-05
Ler, Daren ==> 2.66556914492e-05
Weinberg, Amy ==> 0.000167298936378
Jmaiel, Mohamed ==> 1.50246907244e-05
Saleem, Safiyyah ==> 4.4920010305e-05
Halimi, Sonia ==> 5.53940229196e-05
Yarowsky, David ==> 0.00241568274967
Mamou, Jonathan ==> 1.4571616354e-05
Takeshita, Atsushi ==> 1.74668893325e-05
Corley, Steffan ==> 2.28943601611e-05
Ma, Jianqiang ==> 2.30782076249e-05
Candito, Marie ==> 0.000178817169959
Lin, Jing ==> 2.12063106586e-05
Harris, Larry R. ==> 1.47819944358e-05
Lef&egrave;vre, Fabrice ==> 4.70656644173e-05
Chichester, Christine ==> 3.1213907738e-05
Tang, Enya Kong ==> 5.93013776518e-05
Roekhaut, Sophie ==> 3.21932707823e-05
Arez, Pedro ==> 2.04191907035e-05
Nelken, Rani ==> 9.64966625774e-05
Saito, Manami ==> 3.69548045611e-05
Okamoto, Masashi ==> 6.1484643213e-05
Rello, Luz ==> 1.64956873966e-05
Digalakis, Vassilios ==> 0.000155815095141
Karamuftuoglu, Murat ==> 1.5086705494e-05
Shibaki, Yumi ==> 2.41148917571e-05
Zhang, Muyu ==> 2.02592124526e-05
Pierrehumbert, Janet B. ==> 8.13222544595e-05
Pallier, Christophe ==> 4.69068385539e-05
Alcantara, Manuel ==> 1.36675394302e-05
Seo, Hee-Cheol ==> 3.63200684732e-05
Moore, Johanna D. ==> 0.00114668314026
Kennedy, Alistair ==> 1.67086103514e-05
Moruz, Alex ==> 2.69046639475e-05
Huang, Chu-Ren ==> 0.000287737059895
Li, Baoli ==> 5.61055490071e-05
Ganchev, Kuzman ==> 0.000254475729226
Hindle, Donald ==> 0.000833171224424
Schur, Anne ==> 2.03336230545e-05
Cohen, Aaron ==> 3.24501696049e-05
Memmi, D. ==> 3.6223771773e-05
Ornan, Uzzi ==> 4.818270538e-05
Kate, Rohit J. ==> 0.000116518915816
Eck, Matthias ==> 8.29474341847e-05
Graesser, Arthur C. ==> 2.91143738421e-05
Miller, Tim ==> 0.00011108048341
Nallapati, Ramesh ==> 7.2791515878e-05
Chieu, Hai Leong ==> 0.000164374162338
Dei Rossi, Stefano ==> 2.00231289853e-05
Allwood, Jens ==> 4.18994610619e-05
Cuadros, Montse ==> 6.38043921659e-05
Lin, Hongfei ==> 1.4293795657e-05
Qin, Tao ==> 1.56470152536e-05
Rupp, C. J. ==> 9.29764468943e-05
Lucas, Juan Manuel ==> 3.04334582577e-05
Yabuta, Yukiko ==> 3.05647418118e-05
Lundborg, Joakim ==> 4.28126118626e-05
Tatar, Doina ==> 2.64654443589e-05
Byrnes, John ==> 3.08779453326e-05
Meurs, Marie-Jean ==> 1.64019887956e-05
Raghavan, Revathi Sundara ==> 3.6377796027e-05
Thornton, Simon ==> 4.60977816774e-05
Konstantopoulos, Stasinos ==> 5.22104972396e-05
Yamada, Atsushi ==> 8.18941911556e-05
Lopez, Adam ==> 0.000479555754948
Weerkamp, Wouter ==> 5.02609113718e-05
Beierle, Christoph ==> 1.79776502115e-05
De Vreught, J. P. M. ==> 1.47136975203e-05
Fattal, Raanan ==> 4.55437170749e-05
Vyas, Vishnu ==> 0.000126613599331
Shen, Dayang ==> 6.13524412234e-05
Gibbon, Dafydd ==> 5.51359437635e-05
Jarosz, Gaja E. ==> 5.00688919925e-05
Wu, Weilin ==> 3.42289975111e-05
Song, Sanghoun ==> 2.34478381904e-05
Choma, Travis ==> 1.40750019984e-05
Cattoni, Roldano ==> 7.92665302442e-05
Grozea, Cristian ==> 1.97720764378e-05
Maybury, Mark T. ==> 5.47168833699e-05
Lopes, Gabriel ==> 0.00010769067443
Wolf, Peter ==> 2.26231260077e-05
Tsukada, Hajime ==> 0.00035176019237
Schmidt, Paul ==> 5.31596965585e-05
Maragoudakis, Manolis ==> 2.53261753965e-05
Zhou, Lixin ==> 1.73044570828e-05
Sato, Gayle K. ==> 3.77929366586e-05
Kasper, Walter ==> 6.79449543123e-05
Goncalves, M. R. ==> 2.17042492636e-05
Barrachina, Sergio ==> 6.55293029438e-05
Rodriguez, Kepa Joseba ==> 6.9983491703e-05
Suriyentrakorn, Pasin ==> 2.07618652248e-05
Kim, Kyungduk ==> 4.77218214126e-05
Marciniak, Malgorzata ==> 2.36716703573e-05
Berthelin, Jean-Baptiste ==> 1.80042021371e-05
Bojar, Ond&#x159;ej ==> 0.000773999485527
Mairgup, Mansur ==> 2.08579539311e-05
Sorensen, Jeffrey S. ==> 0.00034672878571
Li, Chen ==> 2.04508851206e-05
Fritzson, Richard ==> 2.03626708769e-05
Q. Nguyen, Chau ==> 1.58981712578e-05
Buchsbaum, Adam L. ==> 3.41211675518e-05
Mullenders, J. ==> 2.02588100821e-05
Liu, Wei ==> 3.14666149358e-05
Friedberg, Heather ==> 5.15192043726e-05
Guo, Yuhang ==> 6.98676061249e-05
Chiarcos, Christian ==> 0.000218729620312
Ballim, Afzal ==> 7.9332699905e-05
Kidawara, Yutaka ==> 2.07300576364e-05
Kim, Harksoo ==> 7.25688917618e-05
Uren, Victoria ==> 1.67645439712e-05
Colowick, Susan ==> 1.96490993127e-05
Charton, &Eacute;ric ==> 3.53829280775e-05
Hirakawa, Hideki ==> 0.000141704930195
Yan, Yulan ==> 7.5404074031e-05
Ng, Wing W. Y. ==> 2.56508319226e-05
Cordella, Marisa ==> 1.85163806078e-05
Dinesh, Nikhil ==> 0.000170887634787
Marques Pelizzoni, Jorge ==> 2.39385435518e-05
Acosta, Jaime ==> 1.49420518657e-05
Milhaud, Gerard ==> 3.27221338963e-05
Huang, Eric H. ==> 3.70493114954e-05
Venkatapathy, Sriram ==> 0.00022971642181
Salleb-Aouissi, Ansaf ==> 6.17011684026e-05
Wiegand, Michael ==> 6.0462503969e-05
Singhal, Amit ==> 6.45768155623e-05
De Bruin, Jos ==> 3.0926818946e-05
Rist, Thomas ==> 8.69220358244e-05
Castillo, Julio ==> 1.48677746116e-05
Stevenson, Rosemary ==> 0.000102125422495
Bahl, L. R. ==> 2.2456417891e-05
Pa&scedil;ca, Marius ==> 0.000642294300523
Van Der Sloot, Ko ==> 1.91002800071e-05
Mitamura, Teruko ==> 0.000218363218921
Siohan, O. ==> 1.67348901729e-05
Martinez, Hector ==> 1.76579409583e-05
Martin-Brualla, Ricardo ==> 2.63092441047e-05
Wittenburg, Peter ==> 5.05584652012e-05
Koktova, Eva ==> 5.49673369946e-05
Yeh, Eric ==> 4.9446765498e-05
Ellison, Noel ==> 3.51909172454e-05
Medelyan, Olena ==> 3.0228897748e-05
Mouret, Pascal ==> 3.45694305454e-05
V., Surya Ganesh ==> 1.47144999229e-05
Kummerfeld, Jonathan K. ==> 7.24428909221e-05
Okuno, Hiroshi G. ==> 0.000160827352245
Davis, Paul C. ==> 2.29629764852e-05
Kupiec, Julian ==> 0.000416072113922
Walkerdine, James ==> 2.45457167287e-05
Tsatsaronis, George ==> 2.74999956135e-05
Prevete, Roberto ==> 6.89190708422e-05
Heylen, Dirk ==> 3.16982165384e-05
Tang, Guangchao ==> 3.65829217575e-05
Rosset, Sophie ==> 6.79642475372e-05
Marin, Marius ==> 2.55689925153e-05
Andrew, Galen ==> 0.000185897012245
&Scaron;tep&aacute;nek, Jan ==> 0.000147794894442
Farwell, David ==> 7.28820058374e-05
Ong, Ethel ==> 9.58902194097e-05
Lee, Yong-Won ==> 1.54664319849e-05
Pong, Sandiway ==> 1.52496381843e-05
Song, Dong ==> 3.07171009679e-05
Gershman, Anatole ==> 3.18684533469e-05
Hartrumpf, Sven ==> 7.77233548421e-05
Clegg, B. Andrew ==> 1.80487498495e-05
Huang, Yun ==> 7.69097069703e-05
Basu, Anupam ==> 0.000118852741848
Enomoto, Kousuke ==> 1.73440389512e-05
Feng, Song ==> 4.26053870504e-05
Munson, Art ==> 2.78584986366e-05
Liu, Yuanjie ==> 3.21812128956e-05
Aruga, Norikazu ==> 2.09930918575e-05
Agarwal, Deepak ==> 3.33652323608e-05
Witkam, Toon ==> 1.6324475328e-05
Mao, Yu-Hang ==> 4.05538414474e-05
Bittar, Andr&eacute; ==> 1.70938093077e-05
Takano, Akihiko ==> 2.04367820578e-05
Maeda, Kazuaki ==> 4.15725619768e-05
MacIntyre, Robert ==> 0.000234646056921
Fine, Alex ==> 2.47275619428e-05
Carbonnell, Jaime G. ==> 0.000673445902047
Lin, Frank ==> 2.15358622179e-05
&#x110;inh, Quang Th&#x1EAF;ng ==> 2.65787165065e-05
Mizukami, Etsuo ==> 2.1310871304e-05
Korkmaz, Turgay ==> 1.44299890123e-05
Huang, Ruihong ==> 9.13776644996e-05
Daniel, Naomi ==> 2.35408441184e-05
D'Haro, Luis F. ==> 4.33446069921e-05
Hasler, Eva ==> 3.81849396411e-05
Nagata, Ryo ==> 0.000176045412127
Paris, Inalco ==> 3.00510482151e-05
Brunning, Jamie ==> 7.59752778764e-05
Niu, Cheng ==> 0.000319808810935
Chin, Andy C. ==> 1.47061464657e-05
Johnson, Howard ==> 0.000224550035022
Cooper, Richard P. ==> 3.56886279013e-05
Philp, Christina ==> 5.33987753783e-05
Loeff, Nicolas ==> 2.81244779488e-05
Pettersson, Paul ==> 1.6128415895e-05
Moran, Douglas B. ==> 0.000264612338252
Power, Richard ==> 0.000396794532737
Bickmore, Timothy W. ==> 4.38875546613e-05
Peterson, Erik ==> 4.84500810033e-05
Rei, Marek ==> 4.3557794956e-05
Cailliau, Frederik ==> 1.37973464088e-05
Hori, Koichi ==> 4.33527959238e-05
Lin, Wei-Hao ==> 0.000167262489842
King, Joseph ==> 4.40060654344e-05
Higasa, Wataru ==> 2.99458315722e-05
Tucker, Gordon H. ==> 2.25976204222e-05
Pianesi, Fabio ==> 0.000120217776048
Finkel, Raphael ==> 1.69870829565e-05
Branco Ribeiro, Gabriela Castelo ==> 3.31504176742e-05
Serban, Gabriela ==> 2.44084339958e-05
Banerjee, Protima ==> 2.41587476106e-05
Okada, Yoshihiro ==> 2.81121025393e-05
Hafiz, Rahmatullah ==> 1.65751330296e-05
Zelenko, Dmitry ==> 0.00012483631865
Winkelmann, Gunter ==> 3.13763471068e-05
Latecki, Longin ==> 2.88012793691e-05
Paredes-Frigolett, Harold ==> 1.47047278237e-05
Hildebrand, Almut Silja ==> 9.92329972002e-05
Tang, Li ==> 2.56319358628e-05
Bookman, Lawrence A. ==> 1.53444373688e-05
Louwerse, Max ==> 1.76932827969e-05
Shih, Chilin ==> 0.000171107544214
Seng, Sopheap ==> 1.59875633372e-05
Planul, Jennifer ==> 1.769736284e-05
Meyer, Thomas ==> 7.36287238601e-05
Lascarides, Alex ==> 0.000544525889905
Allauzen, Alexandre ==> 0.000232594262519
Huang, Shu-Ling ==> 4.48313877809e-05
Ohlsson, Stellan ==> 2.0283607171e-05
Kundu, Gourab ==> 3.88713623858e-05
Subba, Rajen ==> 6.62729608311e-05
Zhao, Hongmei ==> 4.88240304577e-05
McKee, Douglas ==> 0.000102228506574
McKay, Donald P. ==> 8.16220521987e-05
Chae, Young-Soog ==> 1.93138401857e-05
Biemann, Christian ==> 0.000293098706614
Forster, Peter ==> 1.47404414059e-05
Ohnishi, Noboru ==> 3.11452282199e-05
Sanchez Peiro, Joan Andreu ==> 3.05466638794e-05
Wang, Chun-Hung ==> 2.53149846023e-05
Lin, Yi-Chung ==> 7.5783773124e-05
Li, Maoxi ==> 3.5886652525e-05
Tounsi, Lamia ==> 0.000149006869064
Choukri, Khalid ==> 2.23409483441e-05
Gordon, Peter C. ==> 2.65763825026e-05
Jin, Peng ==> 6.6487949319e-05
Shi, Wu-Guang ==> 2.82977816657e-05
de Marneffe, Marie-Catherine ==> 0.000249700397837
Haug, Peter ==> 2.59882234764e-05
Nakajima, Hideharu ==> 2.34617147599e-05
Tae, Yoon-Shik ==> 2.31845683771e-05
Oh, Alice H. ==> 5.14054186871e-05
Zhao, Lian ==> 1.79236294415e-05
Francez, Nissim ==> 4.16091498971e-05
Rehkamper, Klaus ==> 3.25093587582e-05
Nguy, Giang Linh ==> 1.36322563215e-05
Collier, Alex ==> 1.61990468826e-05
Colbath, Sean ==> 2.72199142178e-05
Rojas, Isabel ==> 3.08272735877e-05
Lavrenko, Victor ==> 5.36369369383e-05
Leung, Cane Wing-ki ==> 2.83551697685e-05
Thompson, Paul ==> 0.00010255485226
Brinckmann, Caren ==> 3.08204036028e-05
Fleck, Margaret M. ==> 0.000114579169597
Ventura, Matthew ==> 1.54664319849e-05
Jacobs, Aaron J. ==> 1.53035062676e-05
Grover, Claire ==> 0.000520557363778
Albro, Daniel M. ==> 1.35809728039e-05
Al-Saif, Amal ==> 6.36218768134e-05
Paulson, E. Anne ==> 3.31048330377e-05
Lochbaum, Karen E. ==> 7.3681716362e-05
Belvin, Robert S. ==> 7.62172353649e-05
Mirkin, Shachar ==> 0.00021142020215
Sharp, Randall ==> 1.72229795262e-05
Coletti, Paolo ==> 3.29689975722e-05
Lee, Adam ==> 4.51386147621e-05
Tcheou, Francois ==> 2.2146129553e-05
Zhu, Xiaoyan ==> 0.000185075794615
Kolss, Muntsin ==> 7.81461649163e-05
Bartlett, Susan ==> 3.68547322525e-05
Duch, Wlodzislaw ==> 4.02318639451e-05
Ginzton, Matt ==> 3.84970403833e-05
Gotti, Fabrizio ==> 5.98569556621e-05
Jiang, Zheng Ping ==> 6.38928465362e-05
Kumaran, Girighar ==> 2.20580063129e-05
van de Guchte, Maarten ==> 2.81185781783e-05
Suzuki, Masanori ==> 1.6973053274e-05
Lin, Tracy ==> 3.55037864615e-05
Ouyang, You ==> 3.97231267159e-05
Sun, Jiadong ==> 3.18681218873e-05
Soclof, Michal ==> 6.04926099258e-05
Honarpisheh, Mohamad Ali ==> 1.71274307383e-05
Guillaume, Pierre ==> 6.20445754036e-05
Gralinski, Filip ==> 3.67144238026e-05
Volz, Raphael ==> 2.47247944003e-05
Candito, Marielu&iacute;sio, Sandra ==> 0.000153366516128
Allison, Ben ==> 4.12465675891e-05
Reeves, John ==> 2.5813501397e-05
Sakamoto, Michelle ==> 1.84876683549e-05
Ramakrishnan, Ganesh ==> 3.13314680447e-05
Gargouri, Bilel ==> 1.50246907244e-05
Towns, Stuart G. ==> 1.4870795221e-05
Kopp, Janina ==> 2.14964533574e-05
Tey, TongGuan ==> 3.0242002451e-05
Mendes, Ana Cristina ==> 2.80908238997e-05
Sagot, Beno&icirc;t ==> 0.000123164405145
Beigman Klebanov, Beata ==> 0.000149536029817
Ohtake, Kiyonori ==> 3.3447074253e-05
Landsbergen, S. P. J. ==> 8.25461544307e-05
Teahan, W. J. ==> 7.35836970197e-05
Ke, Jinyun ==> 1.83638289619e-05
Yang, Erhong ==> 2.39852896248e-05
Binot, Jean-Louis ==> 7.05482759064e-05
Rehm, Matthias ==> 1.39069325679e-05
Jullien, Cleo ==> 8.4388651819e-05
Schwind, Camilla ==> 2.38612487553e-05
Weinstein, Steven P. ==> 2.89642305305e-05
Minkov, Einat ==> 0.000119197103988
Jagannathan, V. ==> 2.91668635495e-05
Hutches, David J. ==> 1.78457216317e-05
Sun, Shuqi ==> 2.35489234961e-05
Kuhn, Karen ==> 3.02476215997e-05
Oliveira, Matheus ==> 1.94510980684e-05
Chute, Christopher G. ==> 8.03285470544e-05
Pereira, Francisco ==> 1.67440262863e-05
Gorin, Allen L. ==> 6.71170379061e-05
Ding, Haibo ==> 1.41630948807e-05
Yoshimoto, Kei ==> 6.63876900017e-05
Fiedler, Ines ==> 1.54575978189e-05
Sui, Zhifang ==> 8.30457629737e-05
Meyer, Josef ==> 2.04683740845e-05
Flournoy, Raymond ==> 2.10763307263e-05
Kim, Myunghee ==> 5.18381505711e-05
Bart, Robert ==> 2.56619444715e-05
Tavernier, Jean ==> 2.32943347536e-05
Eriksson, Gunnar ==> 4.97846409181e-05
Keane, John ==> 2.76007198242e-05
Ogura, Mieko ==> 1.83638289619e-05
Sagawa, Yuji ==> 3.11452282199e-05
Fung, Simon ==> 2.84936515654e-05
Shepherd, Jessica ==> 0.00010006490069
Franco, Horacio ==> 1.97765707478e-05
Benavent, Francesc ==> 2.24011478755e-05
Kosy, Donald W. ==> 2.55001989252e-05
Maxwell, Edward ==> 2.36709024112e-05
Colbourn, M. J. ==> 1.71848675781e-05
Tseng, Tsung-Yih ==> 2.11156301145e-05
Chalendar, Ga&euml;l de ==> 2.57384166447e-05
Montazeri, Niloofar ==> 2.67364396786e-05
Zhang, Bin ==> 6.44223148436e-05
Young, S. J. ==> 5.54331164522e-05
Lopez, Vicente ==> 1.87287636001e-05
Van Utteren, E. P. C. ==> 1.89719194145e-05
Rydin, Sara ==> 2.02548681768e-05
Lu&iacute;s, Tiago ==> 2.95092497395e-05
Lee, Sun-Hee ==> 4.0640180038e-05
Q., Claire ==> 2.8427792664e-05
Meyers, Adam ==> 0.000995579304993
Gao, Xiang ==> 2.05658255788e-05
Krahmer, Emiel ==> 0.00042419013254
Dupoux, Emmanuel ==> 2.53225756757e-05
Lipman, Hagay ==> 1.88870016707e-05
Lai, Jennifer C. ==> 0.000529890708223
Hoffmeister, Bjoern ==> 1.61443019315e-05
Lee, Sophia Yat Mei ==> 9.44117553895e-05
Yonezawa, Akinori ==> 9.07971938026e-05
Martinez, Jose L. ==> 1.6544674686e-05
Holz, Dieter ==> 2.37285912571e-05
Sinha, Ravi ==> 4.13420446497e-05
Kehler, T. P. ==> 8.69036238811e-05
Jones, Dominic R. ==> 2.68984574606e-05
Ludwig, Bernd ==> 2.08352767825e-05
Frisch, Alan M. ==> 1.39463028563e-05
Van Landeghem, Sofie ==> 7.68983498272e-05
Benra, Jorg ==> 1.62819877711e-05
Sun, Yanli ==> 5.68555652857e-05
Diermeier, Daniel ==> 5.35485382937e-05
Mrakova, Eva ==> 1.7532537687e-05
Aretoulaki, Maria ==> 1.81343862121e-05
Poulson, Laurie ==> 4.28708022704e-05
Jacquey, Evelyne ==> 3.30122387222e-05
Teixeira, Jorge ==> 2.16146920728e-05
Ferrer, Eva Esteve ==> 7.71147248984e-05
Yue, Yisong ==> 4.06979001105e-05
S., Rajendran ==> 1.52828397281e-05
Bauer, Daniel ==> 3.06369478923e-05
Shah, Shalin ==> 3.08966907541e-05
Zbang, Yuemei ==> 2.20383964247e-05
Maclachlan, Anna ==> 2.64808392057e-05
Beaumont, Will de ==> 2.28505913922e-05
Hammerton, James ==> 5.48795939323e-05
Jerry, Ye ==> 2.42031670193e-05
Roberts, Craige ==> 1.90262398746e-05
Dines, John ==> 1.56206135736e-05
Patwardhan, Siddharth ==> 0.000438563972445
Schoenemann, Thomas ==> 6.45487091622e-05
Pan, Shimei ==> 0.000138175867592
Kruijff, Geert-Jan M. ==> 0.000310508269804
Liao, Ciya ==> 2.33350786944e-05
